//Card Title,Card ID,Card Value,Card Type,Card Sub Type,Card Badge,Card Series,Year,Peak,Team,Franchise,LastName,FirstName,NickName,UniformNumber,DayOB,MonthOB,YearOB,Bats,Throws,Position,Pitcher Role,Contact,Gap,Power,Eye,Avoid Ks,BABIP,Contact vL,Gap vL,Power vL,Eye vL,Avoid K vL,BABIP vL,Contact vR,Gap vR,Power vR,Eye vR,Avoid K vR,BABIP vR,GB Hitter Type,FB Hitter Type,BattedBallType,Speed,Steal Rate,Stealing,Baserunning,Sac bunt,Bunt for hit,Stuff,Movement,Control,pHR,pBABIP,Stuff vL,Movement vL,Control vL,pHR vL,pBABIP vL,Stuff vR,Movement vR,Control vR,pHR vR,pBABIP vR,Fastball,Slider,Curveball,Changeup,Cutter,Sinker,Splitter,Forkball,Screwball,Circlechange,Knucklecurve,Knuckleball,Stamina,Hold,GB,Velocity,Arm Slot,Height,Infield Range,Infield Error,Infield Arm,DP,CatcherAbil,CatcherFrame,Catcher Arm,OF Range,OF Error,OF Arm,Pos Rating P,Pos Rating C,Pos Rating 1B,Pos Rating 2B,Pos Rating 3B,Pos Rating SS,Pos Rating LF,Pos Rating CF,Pos Rating RF,LearnC,Learn1B,Learn2B,Learn3B,LearnSS,LearnLF,LearnCF,LearnRF,era,tier,MissionValue,limit,owned,brefid,Buy Order High,Sell Order Low,Last 10 Price,Last 10 Price(VAR),date,
Unsung Heroes RP Russ Meers CHC 1947,70344,45,8,,,,1947,N,Chicago Cubs,CHC,Meers,Russ,Babe,17,28,11,1918,2,2,1,12,3,2,1,2,1,1,3,2,1,2,1,1,3,3,2,2,1,1,1,0,0,14,5,6,24,27,41,74,69,32,57,94,84,72,26,50,116,70,68,35,59,87,0,74,0,0,0,0,91,0,0,0,0,0,25,115,4,88-90,3,178,27,20,23,23,0,0,0,7,9,10,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,meersru01,6,39,25,0,2025-03-14,
Snapshot SP Jouett Meekin NY1 1895,70759,83,7,,,,1895,N,New York Giants,SFG,Meekin,Jouett,,63,21,2,1867,1,1,1,11,26,63,34,33,20,32,27,64,35,34,21,33,26,63,34,33,20,32,0,0,0,71,79,61,72,26,84,106,61,72,66,53,97,60,71,65,51,114,64,74,69,54,87,0,0,120,0,81,0,0,0,0,0,0,77,53,2,91-93,3,185,23,21,22,21,0,0,0,6,4,7,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,0,0,meekijo01,1200,1670,1395,0,2025-03-14,
MLB 2025 Live SP Luis Medina ATH,72127,48,1,,,,2025,N,Athletics,OAK,Medina,Luis,,46,3,5,1999,1,1,1,11,18,16,1,21,12,25,20,17,1,23,13,26,18,16,1,21,12,25,0,0,0,29,49,6,33,66,50,73,80,57,81,80,70,77,57,77,77,75,85,58,86,85,109,98,76,73,0,0,0,0,0,0,0,0,52,48,3,96-98,3,185,22,56,37,33,1,1,1,3,3,3,82,0,51,15,16,0,0,0,0,0,1,1,1,0,0,0,0,8,0,1,0,1,medinlu02,11,55,64,0,2025-03-14,
MLB 2025 Live LF Wade Meckler SF,72697,69,1,,,,2025,N,San Francisco Giants,SFG,Meckler,Wade,Sparky,53,21,4,2000,2,1,7,0,94,85,34,74,83,98,86,81,33,72,77,94,97,87,35,75,86,100,1,1,0,68,23,77,68,88,34,1,22,7,1,66,1,22,7,1,65,1,23,8,1,68,5,0,0,0,0,0,0,0,0,0,0,0,5,13,4,75-80,3,175,43,59,40,33,2,2,2,75,75,50,97,0,57,35,31,19,88,60,73,0,1,1,1,1,1,1,1,8,1,2,0,0,mecklwa01,33,88,96,0,2025-03-14,
MLB 2025 Live RP Nick Mears MIL,72471,52,1,,,,2025,N,Milwaukee Brewers,MIL,Mears,Nick,,46,7,10,1996,1,1,1,12,18,16,3,15,18,19,19,17,3,16,19,20,18,16,3,15,18,19,0,0,0,14,8,7,28,47,14,103,59,51,54,70,92,56,51,52,66,112,62,52,57,72,138,132,123,0,0,0,0,0,0,0,0,0,16,46,3,97-99,3,188,22,32,51,12,2,2,1,14,14,19,66,0,46,0,13,0,0,0,0,0,1,0,1,0,0,0,0,8,0,1,0,1,mearsni01,10,48,31,0,2025-03-14,
MLB 2025 Live RP John Means CLE,71964,58,1,,,,2025,N,Cleveland Guardians,CLE,Means,John,,47,24,4,1993,2,2,1,12,15,14,4,11,15,14,14,14,4,11,14,14,16,15,5,12,16,15,1,1,0,17,13,12,25,41,8,60,70,102,44,122,64,75,106,48,131,59,69,101,44,120,68,66,66,71,0,0,0,0,0,0,0,0,43,57,4,91-93,3,193,35,16,43,17,1,1,6,7,38,16,64,0,54,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,0,1,0,1,meansjo01,9,55,29,0,2025-03-14,
MLB 2025 Live CF Parker Meadows DET,72014,79,1,,,,2025,N,Detroit Tigers,DET,Meadows,Parker,,22,2,11,1999,2,1,8,0,69,86,73,76,74,65,65,82,69,72,70,63,70,88,75,78,76,66,1,1,0,87,72,79,81,59,60,1,25,3,1,74,1,24,3,1,72,1,26,4,1,77,28,0,0,0,0,0,0,0,0,0,0,0,12,0,3,88-90,3,196,16,4,48,11,2,2,2,91,81,78,30,0,25,0,0,0,115,91,103,0,1,0,0,0,1,1,1,8,2,5,0,1,meadopa01,400,669,628,0,2025-03-14,
MLB 2025 Live 2B Curtis Mead TB,71897,49,1,,,,2025,N,Tampa Bay Rays,TBD,Mead,Curtis,,25,26,10,2000,1,1,4,0,78,94,56,58,84,74,80,97,58,59,89,76,77,94,56,58,83,74,0,0,0,47,31,69,54,37,28,1,21,1,1,63,1,21,1,1,63,1,22,1,1,64,5,0,0,0,0,0,0,0,0,0,0,0,10,0,4,75-80,4,188,50,47,43,50,1,1,2,53,52,44,96,0,80,43,32,24,57,20,44,0,1,1,1,1,1,1,1,8,0,1,0,1,meadcu01,11,39,27,0,2025-03-14,
All-Time Legend RP Rusty Meacham KC Peak,71334,88,4,,,,1992,Y,Kansas City Royals,KCR,Meacham,Rusty,,28,27,1,1968,1,1,1,12,14,34,24,28,14,13,15,34,25,29,15,14,14,34,24,28,14,13,0,1,0,16,5,6,28,23,6,71,102,91,97,114,65,109,78,116,97,75,97,104,82,128,62,73,0,0,0,66,0,92,0,0,0,0,24,115,2,90-92,3,188,27,20,23,23,0,0,0,7,2,2,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,15,0,0,meachru01,2500,2768,2502,0,2025-03-14,
Unsung Heroes SP Doug McWeeny BRO 1927,70407,68,8,,,,1927,N,Brooklyn Robins,LAD,McWeeny,Doug,Buzz,41,17,8,1896,1,1,1,11,3,6,3,10,1,1,4,3,2,10,1,3,3,7,4,10,1,1,1,2,0,5,5,6,5,43,28,115,73,49,56,109,72,72,37,56,104,177,76,57,57,114,89,89,134,71,0,0,0,0,0,0,0,0,62,33,2,91-93,3,188,30,13,22,23,0,0,0,2,5,9,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,mcweedo01,26,100,127,0,2025-03-14,
Hardware Heroes LF Hal McRae KC 1977,70304,86,9,,,,1977,N,Kansas City Royals,KCR,McRae,Hal,,11,10,7,1945,1,1,7,0,95,146,79,79,126,71,110,155,96,72,140,82,90,143,76,82,121,67,2,2,0,66,79,68,68,7,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,29,0,0,0,0,0,0,0,0,0,0,0,1,5,2,89-91,2,180,3,3,1,7,0,0,0,53,58,88,0,0,0,0,0,0,68,27,65,0,0,0,0,0,1,1,1,3,3,15,0,0,mcraeha01,1001,2499,1936,10000,2025-03-14,
Rookie Sensation RP Herb McQuaid CIN 1923,71492,74,3,,,,1923,N,Cincinnati Reds,CIN,McQuaid,Herb,,35,29,3,1899,1,1,1,12,3,2,2,2,1,1,3,3,2,2,1,1,3,2,2,2,1,1,0,0,0,7,4,6,9,29,35,50,114,73,110,122,49,118,73,114,127,50,111,74,108,117,49,0,61,0,0,0,0,0,0,0,0,0,24,33,2,88-90,4,188,27,20,23,23,0,0,0,2,8,3,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,5,0,0,mcquahe01,101,300,367,4004,2025-03-14,
Snapshot 2B Bid McPhee CN2 1886,71085,88,7,,,,1886,N,Cincinnati Red Stockings,CIN,McPhee,Bid,,7,1,11,1859,1,1,4,0,69,93,99,90,75,64,70,94,101,91,76,65,69,93,98,90,75,64,0,0,0,81,93,89,79,7,9,1,1,1,2,1,1,1,1,2,1,1,1,1,2,1,29,0,0,0,0,0,0,0,0,0,0,0,1,11,2,89-91,3,173,69,79,36,100,0,0,0,7,1,1,0,0,0,87,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,15,0,0,mcphebi01,1001,3189,1851,13000,2025-03-14,
MLB 2025 Live 2B Jeff McNeil NYM,72318,55,1,,,,2025,N,New York Mets,NYM,McNeil,Jeff,JT,1,8,4,1992,2,1,4,0,80,84,47,61,100,68,76,80,44,60,90,66,83,86,49,62,104,69,1,1,0,41,17,85,59,56,44,1,21,1,1,62,1,20,1,1,60,1,21,1,1,63,5,0,0,0,0,0,0,0,0,0,0,0,4,0,4,75-80,3,185,61,67,54,64,1,1,1,60,55,48,115,0,82,65,54,47,67,32,54,0,1,1,1,1,1,1,1,8,0,1,0,0,mcneije01,6,50,38,0,2025-03-14,
Rod Carew Mission - Hardware Heroes 2B Jeff McNeil NYM 2022,70329,79,9,,,Rod Carew Mission,2022,N,New York Mets,NYM,McNeil,Jeff,JT,1,8,4,1992,2,1,4,0,131,106,34,58,135,114,128,61,12,60,129,113,132,128,40,58,137,114,1,0,0,34,15,85,47,4,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,41,0,0,0,0,0,0,0,0,0,0,0,1,18,2,92-94,3,185,72,82,59,69,0,0,0,41,45,44,0,0,0,81,69,0,42,0,31,0,0,1,1,0,1,0,1,7,2,5,0,0,mcneije01,500,0,900,0,2025-03-14,
Unsung Heroes 3B Eric McNair CWS 1939,70479,74,8,,,,1939,N,Chicago White Sox,CHW,McNair,Eric,Boob,47,12,4,1909,1,1,5,0,90,48,61,61,85,90,105,51,66,61,91,108,85,48,60,62,83,84,0,0,0,69,72,73,69,46,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,33,0,0,0,0,0,0,0,0,0,0,0,1,14,2,90-92,3,183,76,62,92,79,0,0,0,1,1,9,0,0,0,84,83,72,0,0,0,0,0,1,1,1,0,0,0,1,2,5,0,0,mcnaier01,130,235,230,0,2025-03-14,
MLB 2025 Live 3B Ryan McMahon COL,72593,81,1,,,,2025,N,Colorado Rockies,COL,McMahon,Ryan,McDoogle,24,14,12,1994,2,1,5,0,72,84,80,89,60,83,68,80,75,84,57,79,73,86,83,91,62,85,1,1,0,30,23,58,40,27,9,1,22,6,1,65,1,21,6,1,63,1,22,6,1,66,5,0,0,0,0,0,0,0,0,0,0,0,5,0,4,75-80,3,188,77,76,82,47,2,2,2,47,43,58,128,0,93,77,79,67,52,11,43,0,1,1,1,1,1,1,1,8,3,10,0,0,mcmahry01,2200,3999,2558,0,2025-03-14,
Unsung Heroes SP Byron McLaughlin SEA 1979,70384,54,8,,,,1979,N,Seattle Mariners,SEA,McLaughlin,Byron,,27,29,9,1955,1,1,1,11,3,2,2,3,1,1,3,3,2,3,1,1,3,2,2,3,1,1,1,1,0,5,5,6,5,27,39,79,74,46,58,108,117,72,42,53,111,59,77,50,63,106,71,0,118,81,0,0,0,0,0,0,0,0,54,73,3,90-92,3,185,23,20,22,23,0,0,0,6,6,7,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,mclauby01,0,45,21,600,2025-03-14,
MLB 2025 Live 2B Matt McLain CIN,72454,83,1,,,,2025,N,Cincinnati Reds,CIN,McLain,Matt,,9,6,8,1999,1,1,4,0,73,102,81,83,62,85,74,103,83,84,63,86,73,102,81,83,62,85,0,0,0,58,65,78,58,61,55,1,20,1,1,59,1,19,1,1,57,1,20,1,1,60,9,0,0,0,0,0,0,0,0,0,0,0,1,0,3,80-83,3,180,72,79,50,68,2,2,1,66,64,45,126,0,77,79,62,59,75,44,61,0,1,1,1,1,1,1,1,8,3,10,0,0,mclaima01,1355,2300,2160,0,2025-03-14,
MLB 2025 Live SS Zach McKinstry DET,72020,51,1,,,,2025,N,Detroit Tigers,DET,McKinstry,Zach,,39,29,4,1995,2,1,6,0,72,94,48,73,77,69,68,88,45,70,72,66,74,96,50,75,79,70,0,0,0,72,64,85,71,83,77,8,29,28,1,86,7,28,28,1,83,8,29,28,1,87,29,0,0,0,0,0,0,0,0,0,0,0,15,24,4,75-80,4,183,69,72,61,62,0,0,0,56,56,53,122,0,81,72,63,56,64,28,52,0,1,1,1,1,1,1,1,8,0,1,0,1,mckinza01,10,39,30,0,2025-03-14,
MLB 2025 Live SP Triston McKenzie CLE,71992,40,1,,,,2025,N,Cleveland Guardians,CLE,McKenzie,Triston,Dr. Sticks,24,2,8,1997,1,1,1,11,18,16,4,12,17,19,19,17,5,13,19,20,18,16,4,12,17,19,1,1,0,18,15,18,19,41,22,78,81,50,63,117,76,78,50,62,111,80,83,51,65,121,86,90,114,0,0,0,0,0,0,0,0,0,54,47,4,92-94,4,196,37,26,47,9,1,1,1,17,19,12,75,0,66,2,14,0,1,0,0,0,1,1,1,0,1,0,0,8,0,1,0,1,mckentr01,15,40,42,0,2025-03-14,
Derek Jeter Mission - Snapshot SS Ed McKean CL4 1896,70990,77,7,,,Derek Jeter Mission,1896,N,Cleveland Spiders,CLE,McKean,Ed,Mack,60,6,6,1864,1,1,6,0,104,95,83,65,137,77,111,98,88,68,150,79,103,94,81,65,133,77,0,0,0,41,48,45,43,82,75,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,33,0,0,0,0,0,0,0,0,0,0,0,1,20,2,90-92,3,175,58,78,70,74,0,0,0,4,6,6,0,0,0,0,0,56,0,0,0,0,0,0,0,1,0,0,0,0,2,5,0,0,mckeaed01,890,0,1227,0,2025-03-14,
Negro League Star SP Henry McHenry PhSt 1947,71751,72,2,,,,1947,N,Philadelphia Stars,PhSt,McHenry,Henry,El Chato,21,3,4,1910,1,1,1,11,39,72,69,54,33,48,40,74,72,55,34,49,39,72,69,54,33,48,0,0,0,9,3,12,29,25,5,79,79,69,77,83,81,82,69,79,88,77,77,69,76,80,65,0,106,75,0,0,0,0,85,0,0,90,61,60,2,89-91,3,183,29,25,26,25,0,0,0,55,59,65,63,0,43,0,0,0,65,0,57,0,1,0,0,0,0,0,0,2,2,5,0,0,mchenhe01,155,300,384,4000,2025-03-14,
Rookie Sensation LF Austin McHenry STL 1918,71659,55,3,,,,1918,N,St. Louis Cardinals,STL,McHenry,Austin,Mac,45,22,9,1895,1,1,7,0,63,116,71,65,74,56,66,109,72,70,87,48,64,119,71,64,71,59,0,1,0,80,80,80,89,94,64,1,3,1,4,1,1,3,1,4,1,1,3,1,4,1,33,0,0,0,0,0,0,0,0,0,0,0,1,20,2,90-92,3,180,6,5,10,5,0,0,0,45,69,87,0,0,0,0,0,0,60,11,0,0,0,0,0,0,1,1,0,0,0,1,0,0,mchenau01,15,33,38,680,2025-03-14,
Rookie Sensation RF Bill McGunnigle BFN 1879,71589,73,3,,,,1879,N,Buffalo Bisons,LAD,McGunnigle,Bill,Gunner,3,1,1,1855,1,1,1,11,31,4,24,72,48,16,32,4,25,75,50,17,31,4,24,72,48,16,0,0,0,82,93,86,75,8,5,95,72,34,70,77,90,69,34,67,75,100,76,35,73,83,72,85,0,90,0,0,0,0,0,0,0,0,93,60,2,89-91,4,175,27,20,23,23,0,0,0,63,54,67,55,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,1,0,2,5,0,0,mcgunbi01,101,150,169,0,2025-03-14,
Snapshot SP Lynn McGlothen STL 1976,70689,66,7,,,,1976,N,St. Louis Cardinals,STL,McGlothen,Lynn,,47,27,3,1950,2,1,1,11,11,26,9,14,9,11,12,16,9,8,5,19,11,29,9,16,11,9,0,2,0,10,5,6,16,48,8,63,78,63,79,76,46,76,60,76,77,77,81,67,84,75,66,0,94,82,0,0,0,0,0,0,0,0,68,59,3,90-92,3,188,23,51,32,23,0,0,0,5,6,5,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,0,0,mcgloly01,44,80,84,0,2025-03-14,
Snapshot SP Jumbo McGinnis SL4 1885,70751,62,7,,,,1885,N,St. Louis Browns,BAL,McGinnis,Jumbo,,18,22,2,1854,1,1,1,11,18,24,39,28,21,16,20,25,41,29,23,17,18,24,39,28,21,16,2,2,0,60,64,63,56,7,4,59,77,68,73,85,58,76,68,73,83,59,78,69,74,87,62,0,0,86,0,65,0,0,0,0,0,0,88,60,2,89-91,4,178,28,21,25,26,0,0,0,8,8,3,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,mcginju01,26,90,85,0,2025-03-14,
Rookie Sensation RP Dan McGinn MON 1969,71458,66,3,,,,1969,N,Montreal Expos,WSN,McGinn,Dan,,25,29,11,1943,2,2,1,12,3,2,2,1,1,1,3,2,2,1,1,1,3,3,3,2,1,1,2,0,0,24,5,6,44,25,40,98,74,49,84,56,119,86,36,99,62,91,71,53,79,55,70,0,0,0,0,95,0,0,0,0,0,0,24,87,0,89-91,3,183,31,20,25,23,0,0,0,6,5,4,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,0,0,mcginda01,0,0,53,0,2025-03-14,
Matt Stairs Mission - Snapshot RF Willie McGee SF 1992,69336,49,7,,,Matt Stairs Mission,1992,N,San Francisco Giants,SFG,McGee,Willie,,51,2,11,1958,3,1,9,0,85,62,4,43,63,112,76,63,13,18,50,109,91,62,2,52,69,113,0,0,0,83,56,86,98,74,59,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,33,0,0,0,0,0,0,0,0,0,0,0,1,19,2,90-92,3,185,5,6,3,9,0,0,0,69,49,75,0,0,0,0,0,0,83,51,74,0,0,0,0,0,1,1,1,4,0,1,0,0,mcgeewi01,25,44,52,2001,2025-03-14,
All-Time Legend RP Jake McGee TB Peak,70054,100,4,,,,2014,Y,Tampa Bay Rays,TBD,McGee,Jake,Maccheez,57,6,8,1986,2,2,1,12,14,33,24,28,14,13,13,33,23,28,13,13,15,34,25,29,15,14,1,2,0,16,3,6,28,27,8,118,111,95,124,86,140,141,111,157,111,113,103,90,117,77,84,109,0,0,0,0,0,0,0,0,0,0,16,115,4,91-93,3,193,27,20,23,23,0,0,0,8,5,7,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,200,0,0,mcgeeja01,0,36221,34768,0,2025-03-14,
Hardware Heroes C Mike McGeary PH1 1874,70339,60,9,,,,1874,N,Philadelphia Athletics,OAK,McGeary,Mike,,7,16,11,1850,1,1,2,0,91,63,32,49,98,80,94,64,33,50,102,82,90,63,32,49,97,80,0,0,0,56,61,83,55,6,9,1,3,1,4,1,1,3,1,4,1,1,3,1,4,1,33,0,0,0,0,0,0,0,0,0,0,0,1,16,2,90-92,4,170,92,69,92,102,64,57,50,9,4,1,0,52,0,108,96,92,0,0,0,1,0,1,1,1,0,0,0,0,1,2,0,1,mcgeami01,55,70,65,0,2025-03-14,
All-Time Legend RF Jack McGeachey SL5 Peak,71362,48,4,,,,1886,Y,St. Louis Maroons,CLE,McGeachey,Jack,,54,13,5,1864,1,1,9,0,78,108,30,34,127,49,79,109,31,34,130,50,78,108,30,34,126,49,1,2,0,61,90,88,69,7,17,1,28,36,27,31,1,28,36,27,30,1,29,37,28,32,29,0,0,0,0,0,0,0,0,0,0,0,1,15,2,89-91,3,173,7,5,8,5,0,0,0,61,65,74,0,0,0,0,0,0,76,39,68,0,0,0,0,0,1,1,1,0,0,1,0,3,mcgeaja01,6,40,36,729,2025-03-14,
Unsung Heroes SS Chippy McGarr PH4 1887,70451,56,8,,,,1887,N,Philadelphia Athletics,OAK,McGarr,Chippy,,30,10,5,1863,1,1,6,0,84,65,19,45,110,67,91,67,21,48,119,69,83,65,19,45,107,67,0,1,0,76,105,104,69,4,42,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,29,0,0,0,0,0,0,0,0,0,0,0,1,4,2,89-91,3,175,80,71,85,100,0,0,0,3,6,6,0,0,0,97,87,81,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,mcgarch01,20,40,35,356,2025-03-14,
MLB 2025 Live RP T.J. McFarland ATH,72126,55,1,,,,2025,N,Athletics,OAK,McFarland,T.J.,Return of the Mac,48,8,6,1989,2,2,1,12,29,17,3,17,20,39,29,17,3,16,19,38,30,18,4,18,21,40,0,0,0,21,12,22,28,49,28,56,67,80,70,63,65,76,86,79,70,54,66,79,69,61,0,59,0,0,0,63,0,0,0,63,0,0,13,54,0,88-90,3,191,16,17,45,10,0,0,0,0,0,0,42,0,31,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,0,1,0,1,mcfartj01,11,50,56,0,2025-03-14,
Snapshot RP T.J. McFarland ARI 2018,70538,69,7,,,,2018,N,Arizona Diamondbacks,ARI,McFarland,T.J.,Return of the Mac,30,8,6,1989,2,2,1,12,3,2,1,1,1,1,3,2,1,1,1,1,3,3,2,2,1,1,1,0,0,11,4,6,18,26,27,38,111,69,110,113,51,139,97,140,139,34,104,62,104,104,0,37,0,49,0,47,0,0,0,0,0,0,24,79,0,88-90,3,191,35,20,26,23,0,0,0,2,6,2,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,2,0,0,mcfartj01,51,91,81,0,2025-03-14,
Unsung Heroes CF Herm McFarland NYY 1903,70440,84,8,,,,1903,N,New York Highlanders,NYY,McFarland,Herm,,45,11,3,1870,2,1,8,0,56,122,103,112,68,44,50,75,79,112,62,36,58,149,111,112,70,48,2,2,0,73,84,82,56,70,2,1,3,1,5,1,1,3,1,5,1,1,3,1,5,1,33,0,0,0,0,0,0,0,0,0,0,0,1,6,2,90-92,4,168,5,1,8,10,0,0,0,71,59,55,0,0,0,0,0,0,82,52,69,0,0,0,0,0,1,1,1,0,3,10,0,0,mcfarhe01,0,1400,1340,0,2025-03-14,
Rookie Sensation RP Will McEnaney CIN 1975,71459,69,3,,,,1975,N,Cincinnati Reds,CIN,McEnaney,Will,,37,14,2,1952,2,2,1,12,3,3,1,2,1,1,3,3,1,2,1,1,3,3,2,2,1,1,0,1,0,15,4,6,25,22,19,59,74,103,73,77,84,71,93,50,114,53,76,107,79,72,57,63,0,0,0,0,0,0,0,0,0,0,21,115,4,89-91,2,183,25,20,22,23,0,0,0,4,8,1,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,0,0,mcenawi01,34,80,70,500,2025-03-14,
Snapshot RP Chuck McElroy COL 1998,70527,81,7,,,,1998,N,Colorado Rockies,COL,McElroy,Chuck,,23,1,10,1967,2,2,1,12,3,3,1,2,1,1,3,3,1,2,1,1,3,3,2,3,1,1,0,2,0,8,5,6,10,22,37,79,91,59,122,29,71,59,76,74,29,83,110,55,151,29,71,73,94,59,0,0,71,53,0,0,0,0,16,99,2,90-92,4,183,35,20,26,23,0,0,0,2,5,10,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,10,0,0,mcelrch01,0,2000,1465,0,2025-03-14,
AL Central 1 - Historical All-Star SP Sam McDowell CLE 1969,72728,99,5,,ME,AL Central 2,1969,N,Cleveland,,McDowell,Sam,Sudden Sam,48,21,9,1942,2,2,1,11,19,53,14,18,17,22,15,53,8,11,17,13,21,54,17,21,18,25,0,0,0,7,13,6,5,56,41,127,106,83,115,90,129,116,88,128,92,126,104,82,112,90,80,87,132,105,0,0,0,0,0,0,0,0,88,56,3,90-92,4,196,33,13,23,24,0,0,0,10,3,8,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,75,0,0,mcdowsa01,15000,0,16509,0,2025-03-14,
Snapshot SP Jack McDowell CWS 1994,70716,95,7,,,,1994,N,Chicago White Sox,CHW,McDowell,Jack,,29,16,1,1966,1,1,1,11,3,3,2,3,1,1,3,3,2,3,1,1,3,3,2,3,1,1,1,2,0,14,4,6,24,23,14,72,97,95,110,73,72,97,94,110,73,73,97,96,110,73,73,0,64,0,0,0,101,79,0,0,0,0,83,46,3,90-92,3,196,32,33,29,23,0,0,0,5,5,2,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,75,0,0,mcdowja01,7250,0,12175,0,2025-03-14,
Rookie Sensation SP Danny McDevitt BRO 1957,69647,73,3,,,,1957,N,Brooklyn Dodgers,LAD,McDevitt,Danny,,16,18,11,1932,2,2,1,11,3,1,1,3,1,1,3,1,1,3,1,1,3,2,2,4,1,1,0,0,0,9,3,6,14,25,10,97,90,30,97,78,132,125,35,146,83,87,83,29,86,77,68,0,116,76,0,101,0,0,0,0,0,0,67,115,1,90-92,3,178,27,20,23,23,0,0,0,1,2,6,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,5,0,0,mcdevda01,101,360,225,0,2025-03-14,
Rookie Sensation SP Von McDaniel STL 1957,71534,56,3,,,,1957,N,St. Louis Cardinals,STL,McDaniel,Von,,45,18,4,1939,1,1,1,11,3,3,2,2,1,1,3,3,2,2,1,1,3,3,2,2,1,1,1,0,0,10,4,6,15,25,54,65,77,57,67,97,59,73,47,65,90,69,81,66,70,104,64,75,59,73,0,0,0,0,0,0,0,0,62,106,2,90-92,3,183,27,20,23,23,0,0,0,7,7,4,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,mcdanvo01,6,33,28,1051,2025-03-14,
All-Time Legend SP Lindy McDaniel STL Peak,71358,83,4,,,,1957,Y,St. Louis Cardinals,STL,McDaniel,Lindy,,41,13,12,1935,1,1,1,11,27,73,25,26,11,38,33,48,21,35,8,55,25,80,26,23,13,33,0,0,0,8,5,6,28,25,5,69,80,77,91,60,79,74,71,82,60,60,86,82,98,62,0,0,95,0,0,91,0,77,0,0,0,0,54,113,2,91-93,3,191,31,13,21,18,0,0,0,9,10,8,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,10,0,0,mcdanli01,1001,1555,1636,0,2025-03-14,
MLB 2025 Live RF Andrew McCutchen PIT,72510,71,1,,,,2025,N,Pittsburgh Pirates,PIT,McCutchen,Andrew,Cutch,22,10,10,1986,1,1,9,0,68,76,76,107,68,71,70,77,78,110,70,72,68,76,76,106,68,71,3,2,0,45,21,67,57,83,83,1,20,1,1,60,1,20,1,1,60,1,20,1,1,60,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,-,3,178,12,29,27,18,0,0,0,55,55,56,46,0,26,0,0,0,63,26,53,0,1,0,0,0,1,1,1,8,2,5,0,0,mccutan01,250,332,304,0,2025-03-14,
Hardware Heroes CF Andrew McCutchen PIT 2012,70293,100,9,,,,2012,N,Pittsburgh Pirates,,McCutchen,Andrew,Cutch,22,10,10,1986,1,1,8,0,113,97,104,93,85,135,153,112,117,99,113,167,105,93,100,91,78,124,2,1,0,69,76,71,67,5,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,33,0,0,0,0,0,0,0,0,0,0,0,1,7,2,90-92,3,178,3,5,1,7,0,0,0,97,109,44,0,0,0,0,0,0,118,99,98,0,0,0,0,0,1,1,1,6,5,200,0,0,mccutan01,45000,0,56521,0,2025-03-14,
